Account,BillingAddress,#N/A,,Y
Account,ShippingAddress,#N/A,,Y
Account,LLC_BI__Third_Party__c,#N/A,4099,Y
Account,CCS_Total_Lending_Value_Amount__c,BIGDECIMAL,,Y
Account,CCS_Total_Gross_Value_Amount__c,BIGDECIMAL,,Y
LLC_BI__Connection__c,Id,STRING,18,N
LLC_BI__Connection__c,CreatedDate,DATETIME,,Y
LLC_BI__Connection__c,CreatedById,STRING,18,Y
LLC_BI__Connection__c,LastModifiedDate,DATETIME,,N
LLC_BI__Connection__c,LastModifiedById,STRING,18,N
LLC_BI__Connection__c,CurrencyIsoCode,STRING,3,Y
LLC_BI__Connection__c,CCS_Relationship_Name__c,STRING,1300,Y
LLC_BI__Connection__c,LLC_BI__Connected_To__c,STRING,18,Y
LLC_BI__Connection__c,LLC_BI__Ownership_Percent__c,DECIMAL,,Y
LLC_BI__Connection__c,CCS_Roles__c,STRING,255,Y
LLC_BI__Connection__c,CCS_is_Key_Account_Party__c,BOOL,,Y
LLC_BI__Connection__c,CCS_is_Signatory__c,BOOL,,Y
LLC_BI__Connection__c,CCS_KYC_Status__c,STRING,1300,Y
LLC_BI__Connection__c,CCS_Support_Needed__c,BOOL,,Y
LLC_BI__Connection__c,CCS_Current_Hard_Bank_Limits__c,BIGDECIMAL,,Y
LLC_BI__Connection__c,CCS_Current_Soft_Bank_Limits__c,BIGDECIMAL,,Y
LLC_BI__Connection__c,CCS_Is_ORG_Lead__c,BOOL,,Y
LLC_BI__Connection__c,CCS_Is_part_of_ORG__c,BOOL,,Y
LLC_BI__Connection__c,CCS_ORG_Lead__c,STRING,18,Y
LLC_BI__Connection__c,CCS_ORG_Lead_Name__c,STRING,1300,Y
LLC_BI__Connection__c,CCS_Record_Type__c,STRING,1300,Y
LLC_BI__Connection__c,CCS_Relationship_in_an_OGSA__c,BOOL,,Y
LLC_BI__Connection__c,CCS_RFI_Flag__c,BOOL,,Y
LLC_BI__Connection__c,CCS_RelationshipToFormula__c,STRING,1300,Y
LLC_BI__Connection__c,CCS_Risk_Rating__c,STRING,1300,Y
LLC_BI__Connection__c,CCS_Support_Indicator__c,STRING,1300,Y
LLC_BI__Connection__c,CCS_Total_Current_Bank_Limits__c,BIGDECIMAL,,Y
LLC_BI__Connection__c,LLC_BI__Certifying_Individual__c,BOOL,,Y
LLC_BI__Connection__c,LLC_BI__Connected_From__c,STRING,18,Y
LLC_BI__Connection__c,LLC_BI__Connection_Role__c,STRING,18,Y
LLC_BI__Connection__c,LLC_BI__Controlling_Individual__c,STRING,255,Y
LLC_BI__Connection__c,LLC_BI__Description__c,STRING,255,Y
LLC_BI__Connection__c,LLC_BI__Indirect_Ownership_Percent__c,DECIMAL,,Y
LLC_BI__Connection__c,LLC_BI__Is_Active__c,BOOL,,Y
LLC_BI__Connection__c,LLC_BI__Official_Title__c,STRING,80,Y
LLC_BI__Connection__c,LLC_BI__Status__c,STRING,1300,Y
LLC_BI__Connection__c,LLC_BI__Total_Direct_Indirect_Ownership_Percent__c,DECIMAL,,Y
LLC_BI__Connection__c,LLC_BI__Type__c,STRING,1300,Y
LLC_BI__Connection__c,LLC_BI__UID__c,STRING,54,Y
LLC_BI__Connection__c,Name,STRING,80,Y
CCS_ORG_Approval__c,Id,STRING,18,N
CCS_ORG_Approval__c,CCS_Comments__c,STRING,255,Y
CCS_ORG_Approval__c,CCS_Connection__c,STRING,18,Y
CCS_ORG_Approval__c,CreatedById,STRING,18,Y
CCS_ORG_Approval__c,CreatedDate,DATETIME,,Y
CCS_ORG_Approval__c,CurrencyIsoCode,STRING,3,Y
CCS_ORG_Approval__c,CCS_Is_ORG_Lead__c,BOOL,,Y
CCS_ORG_Approval__c,LastModifiedById,STRING,18,N
CCS_ORG_Approval__c,LastModifiedDate,DATETIME,,N
CCS_ORG_Approval__c,CCS_Lending_Group__c,STRING,18,Y
CCS_ORG_Approval__c,Name,STRING,80,Y
CCS_ORG_Approval__c,CCS_ORG_Lead__c,STRING,18,Y
CCS_ORG_Approval__c,CCS_ORG_Members__c,STRING,131072,Y
CCS_ORG_Approval__c,OwnerId,STRING,18,Y
CCS_ORG_Approval__c,CCS_Request_Reviewer__c,STRING,18,Y
CCS_ORG_Approval__c,CCS_Approval_for__c,STRING,255,Y
CCS_ORG_Approval__c,CCS_Review_Date__c,DATETIME,,Y
CCS_ORG_Approval__c,CCS_Reviewer_Comments__c,STRING,32768,Y
CCS_ORG_Approval__c,CCS_ORG_Status__c,STRING,255,Y
